0,84,Equipo N°2,0,Tranquill,Hypno,Golisopod,Staryu,Seviper,Probopass
1,96,Equipo N°8,0,Tranquill,Hypno,Wobbuffet,Staryu,Wooper,Meowstic-F
2,72,Equipo N°4,0,Muk,Combusken,Walrein,Lampent,Machamp,Shieldon
3,90,Equipo N°8,0,Starly,Combusken,Sylveon,Dragonite,Simisage,Flareon
4,95,Equipo N°10,0,Starly,Hypno,Bellossom,Dragonite,Rhyhorn,Shedinja
5,87,Equipo N°3,0,Minun,Combusken,Walrein,Dragonite,Simisage,Flareon
6,67,Equipo N°3,0,Muk,Tentacool,Walrein,Dragonite,Wooper,Flareon
7,77,Equipo N°4,0,Starly,Tentacool,Wailord,Dragonite,Simisage,Flareon
8,81,Equipo N°1,0,Minun,Tentacool,Bellossom,Dragonite,Simisage,Flareon
9,95,Equipo N°9,0,Sunflora,Tentacool,Bellossom,Dragonite,Simisage,Flareon
